SR NO,Authors,Title,Year,Sample Size,Child/Adult,Data Modality,ML/DL Algorithm,Comparison,Outcome
1,"Zahra Shamsi SA, Hussain Z and Zaman M",A multi-layer similarity approach for analyzing ADHD symptomology and assessment methods considering DSM-5 diagnostic criteria,2026,18,Child,Clinical Data ,"Random Forest, Support Vector Machine, Logistic Regression","ADHD-I, ADHD-H","Accuracy 92%, Precision 83%, Recall 100%, F1-score 91% "
2,"Nouf Jubran AlQahtani, Manar Gherbi, Ali Al-Shaikhi, Mohamed A Mohandes","Deep Learning Approaches to Evaluating ADHD Using EEG Data: RNN, GRU, and LSTM Models",2026,121,Child,EEG Signals,"RNN, GRU, Long Short-Term Memory","ADHD, Control",Accuracy 64.53%
3,"Mehzabin Pathan, Kanak Agrawal, Mansi Ahir, Atharv Bardapurkar, Mandar Deshpande, Anjali S More",Enhancing ADHD Diagnosis Using Machine Learning: A Study on the HYPERAKTIV Dataset,2026,103,Adult,Activity Data ,"Logistic Regression, Random Forest, GBM, Support Vector Machine, XGBoost","ADHD, Control",Accuracy 70.8% 
4,"Bora Başaran, Deniz Polat, Gökçe Nur Yılmaz",A Deep Machine Learning Approach to ADHD Classification Based on Activity Levels,2026,103,Adult,Activity Data ,"Random Forest, Support Vector Machine, Gradient Boosting","ADHD, Control",Accuracy 98.94% for ADHD. Accuracy 98.24% for non-ADHD.
5,"Yuan Gao, Jiahao Gao, Yibin Tang, Aimin Jiang, Ying Chen",Brain Functional Evolution in ADHD Subtypes Via Contrastive Learning,2026,532,Child,rs-fMRI ,"Recurrent Neural Networks, Long Short-Term Memory, Graph Convolutional Networks","ADHD-I, ADHD-C ",Accuracy 67.6%
6,"Ozlem Karabiber Cura, Fatma Gunseli Yasar Ciklacandir",Electroencephalography-based classification of individuals with attention deficit hyperactivity disorder using brain connectivity information and deep learning,2026,121,Child,EEG Signals,Convolutional Neural Network,"ADHD, Control",Accuracy 94.93%-100.00%
7,"Yuko Maeda, Tsukasa Okimura, Takashi Itahashi, Yusuke Fukazawa",ADHD prediction from individual-space T1 images using a Vision Transformer with a gross-region grid framework,2026,973,Child,MRI ,"Vision Transformer, Convolutional Neural Network","ADHD, Control",AUC 75%
8,"Sarah L Karalunas, Gowtham Atluri, Leanne Tamm, Jon Dudley, Tom Maloney, Sarah Pieper, Scott A Jones, John Simon, Phan Anh Duong, Bonnie J Nagel, Jeffery N Epstein",Interrogating cognitive and neural group variation in childhood: Examples in adolescent brain cognitive development and Oregon attention-deficit/hyperactivity disorder-1000 ,2026,10594,Child,"Cognitive data, MRI","Logistic Regression, Decision trees, Random Forest, Support Vector Machine, Naive Bayes","ADHD-I, ADHD","Reproducible Clusters, Significant Clinical Differences, Temporal Stability 45–65%, Agreement 84–100%"
9,"Guilherme Rodrigues Pedrollo, Alexandre Rosa Franco, Alexandre Balbinot",Attention-deficit/hyperactivity disorder classification in functional magnetic resonance images with deep learning,2026,623,Child,rs-fMRI ,"Ridge Regression, AdaBoost, XGBoost","ADHD-I, ADHD-C",Accuracy 97.6 ± 2.1% for ADHD. Accuracy 94.8 ± 1.3% for Subtype
10,"Luis Roberto Mercado-Diaz, Javier O Pinzon-Arenas, Paul A Constable, Irene O Lee, Lynne Loh, Dorothy A Thompson, Hugo F Posada-Quintero",ERG-Graph: Graph Signal Processing of the Electroretinogram for Classification of Neurodevelopmental Disorders,2026,278,Child,ERG Recordings ,"Random Forest, AdaBoost, Gradient Boosting, XGBoost, Support Vector Machine, KNN, MLP","ADHD, Control","Accuracy 91% (ASD vs. control, males), Accuracy 88% (ADHD vs. control, females), Accuracy 81% for three-group classification (ASD vs. ADHD vs. control)"
11,"Jie Gao, Bao Ge, Ning Qiang, Shijie Zhao",3D masked autoencoder with spatiotemporal transformer for modeling of 4D fMRI data,2026,2175,Child,fMRI,"Masked Autoencoder, Spatiotemporal Transformers","ADHD, Control",Improved ADHD Classification and Functional Brain Network Mapping
12,"Wang C, Li Z, Su J, Wang M, Zhang G.",Development and multi-center validation of a school-home integrated machine learning model for early screening of attention-deficit/hyperactivity disorder in school-aged children,2026,26726,Child,Questionaires,"Random Forest, XGBoost, Light Gradient Boosting Machine , Logistic Regression","ADHD, Control","AUPRC 29.8%, AUROC of 92.9%"
13,"Hirokazu Doi, Yoshifumi Nakamura, Ayaka Nakai, Chieko Kanai, Haruhisa Ohta",Comparison of cognitive ability and its distribution between men with autism spectrum disorder and attention-deficit/hyperactivity disorder,2026,728,Adult,Clinical Data ,Random Forest,"ADHD, Control","Accuracy 68.1%, Precision 79%, Recall 74%, Specificity 54%, F1 Score 76.5%"
14,"Kang S, Fu Z, Fan Z, Sun X, Yang L, Cao Q.",Predicting adult functional outcomes in childhood-onset attention-deficit/hyperactivity disorder using multimodal MRI and machine learning: A prospective follow-up study,2026,104,Both,MRI,Random Forest,"ADHD, Control",AUC 81.6%
